GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Security ADFS SAML2,com.github.choonchernlim.security.adfs.saml2,SAMLConfigBeanBuilder,0,98,0,0,0,40,0,15,0,15
Spring Security ADFS SAML2,com.github.choonchernlim.security.adfs.saml2,SAMLConfigBean,0,156,0,0,0,28,0,14,0,14
Spring Security ADFS SAML2,com.github.choonchernlim.security.adfs.saml2,DefaultSAMLBootstrap,0,56,0,0,0,12,0,3,0,3
Spring Security ADFS SAML2,com.github.choonchernlim.security.adfs.saml2,CustomAuthnContext,3,0,0,0,1,0,1,0,1,0
Spring Security ADFS SAML2,com.github.choonchernlim.security.adfs.saml2,SAMLWebSecurityConfigurerAdapter,540,110,6,4,106,23,44,6,41,4
