GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Security ADFS SAML2,com.github.choonchernlim.security.adfs.saml2,SAMLConfigBeanBuilder,0,84,0,0,0,34,0,13,0,13
Spring Security ADFS SAML2,com.github.choonchernlim.security.adfs.saml2,SAMLConfigBean,0,135,0,0,0,24,0,12,0,12
Spring Security ADFS SAML2,com.github.choonchernlim.security.adfs.saml2,DefaultSAMLBootstrap,0,56,0,0,0,12,0,3,0,3
Spring Security ADFS SAML2,com.github.choonchernlim.security.adfs.saml2,CustomAuthnContext,3,0,0,0,1,0,1,0,1,0
Spring Security ADFS SAML2,com.github.choonchernlim.security.adfs.saml2,SAMLWebSecurityConfigurerAdapter,585,0,6,0,117,0,48,0,45,0
